,model_id,auc,logloss
0,GBM_grid_0_AutoML_20190418_130746_model_5,0.948068,0.176906
1,StackedEnsemble_AllModels_0_AutoML_20190418_130746,0.947989,0.19309300000000001
2,GBM_grid_0_AutoML_20190418_130746_model_4,0.947714,0.175319
3,GBM_grid_0_AutoML_20190418_130746_model_0,0.947526,0.177611
4,GBM_grid_0_AutoML_20190418_130746_model_6,0.947297,0.175946
5,GBM_grid_0_AutoML_20190418_130746_model_1,0.9472370000000001,0.178337
6,StackedEnsemble_BestOfFamily_0_AutoML_20190418_130746,0.9471129999999999,0.194198
7,GBM_grid_0_AutoML_20190418_130746_model_2,0.9465129999999999,0.180294
8,GBM_grid_0_AutoML_20190418_130746_model_7,0.944992,0.192274
9,GBM_grid_0_AutoML_20190418_130746_model_3,0.9444959999999999,0.185409
10,XRT_0_AutoML_20190418_130746,0.9415309999999999,0.18445999999999999
11,DRF_0_AutoML_20190418_130746,0.939998,0.195679
12,GLM_grid_0_AutoML_20190418_130746_model_0,0.934917,0.208581
13,DeepLearning_0_AutoML_20190418_130746,0.926025,0.204921
14,GBM_grid_0_AutoML_20190418_130746_model_8,0.913274,0.251363
