,model_id,auc,logloss
0,StackedEnsemble_0_AutoML_20190415_082815,0.948265,0.195115
1,GBM_grid_1_AutoML_20190415_082815_model_0,0.9482209999999999,0.17836400000000002
2,GBM_grid_1_AutoML_20190415_082815_model_2,0.947795,0.17975
3,GBM_grid_0_AutoML_20190415_082815_model_4,0.9476370000000001,0.178708
4,GBM_grid_0_AutoML_20190415_082815_model_1,0.9472370000000001,0.180842
5,GBM_grid_1_AutoML_20190415_082815_model_4,0.946779,0.209879
6,GBM_grid_0_AutoML_20190415_082815_model_2,0.946155,0.183245
7,GBM_grid_0_AutoML_20190415_082815_model_0,0.9458690000000001,0.18179
8,XRT_0_AutoML_20190415_082815,0.9445889999999999,0.181847
9,GBM_grid_0_AutoML_20190415_082815_model_3,0.94357,0.189626
10,DRF_0_AutoML_20190415_082815,0.9412799999999999,0.186352
11,DeepLearning_0_AutoML_20190415_082815,0.933572,0.202398
12,GLM_grid_0_AutoML_20190415_082815_model_0,0.933566,0.21306
13,GLM_grid_0_AutoML_20190415_082815_model_1,0.933566,0.21306
14,GBM_grid_1_AutoML_20190415_082815_model_3,0.9004040000000001,0.315033
15,GBM_grid_1_AutoML_20190415_082815_model_1,0.865157,0.534285
