,model_id,auc,logloss
0,GBM_grid_0_AutoML_20190417_131912_model_7,0.9483309999999999,0.17724600000000001
1,GBM_grid_0_AutoML_20190417_131912_model_9,0.948127,0.17655099999999999
2,StackedEnsemble_AllModels_0_AutoML_20190417_131912,0.9477700000000001,0.193054
3,GBM_grid_0_AutoML_20190417_131912_model_0,0.9476829999999999,0.177619
4,StackedEnsemble_BestOfFamily_0_AutoML_20190417_131912,0.947535,0.193089
5,GBM_grid_0_AutoML_20190417_131912_model_4,0.947382,0.176072
6,GBM_grid_0_AutoML_20190417_131912_model_1,0.9471799999999999,0.17874
7,GBM_grid_0_AutoML_20190417_131912_model_8,0.947059,0.181791
8,GBM_grid_0_AutoML_20190417_131912_model_2,0.947052,0.179538
9,GBM_grid_0_AutoML_20190417_131912_model_5,0.946634,0.181767
10,GBM_grid_0_AutoML_20190417_131912_model_3,0.9446969999999999,0.185578
11,GBM_grid_0_AutoML_20190417_131912_model_11,0.9413540000000001,0.27197899999999997
12,XRT_0_AutoML_20190417_131912,0.940991,0.18793900000000002
13,DRF_0_AutoML_20190417_131912,0.940226,0.191023
14,GBM_grid_0_AutoML_20190417_131912_model_10,0.935424,0.21429600000000001
15,GLM_grid_0_AutoML_20190417_131912_model_0,0.934917,0.208581
16,DeepLearning_0_AutoML_20190417_131912,0.931687,0.201178
17,GBM_grid_0_AutoML_20190417_131912_model_6,0.928517,0.299595
