,model_id,auc,logloss
0,GBM_grid_0_AutoML_20190417_132448_model_5,0.94788,0.182096
1,GBM_grid_0_AutoML_20190417_132448_model_0,0.947817,0.176706
2,StackedEnsemble_BestOfFamily_0_AutoML_20190417_132448,0.9476540000000001,0.19284400000000002
3,GBM_grid_0_AutoML_20190417_132448_model_4,0.947633,0.175623
4,StackedEnsemble_AllModels_0_AutoML_20190417_132448,0.9476,0.19208
5,GBM_grid_0_AutoML_20190417_132448_model_1,0.9467559999999999,0.17912999999999998
6,GBM_grid_0_AutoML_20190417_132448_model_2,0.9466110000000001,0.17993299999999998
7,GBM_grid_0_AutoML_20190417_132448_model_7,0.946468,0.17961
8,GBM_grid_0_AutoML_20190417_132448_model_9,0.945924,0.236573
9,GBM_grid_0_AutoML_20190417_132448_model_10,0.945643,0.189102
10,GBM_grid_0_AutoML_20190417_132448_model_3,0.9450379999999999,0.184752
11,GBM_grid_0_AutoML_20190417_132448_model_8,0.944881,0.23607899999999998
12,XRT_0_AutoML_20190417_132448,0.943197,0.18145
13,DRF_0_AutoML_20190417_132448,0.9394600000000001,0.192275
14,GLM_grid_0_AutoML_20190417_132448_model_0,0.934917,0.208581
15,DeepLearning_0_AutoML_20190417_132448,0.933529,0.19724
16,GBM_grid_0_AutoML_20190417_132448_model_6,0.9206559999999999,0.267392
