,model_id,auc,logloss
0,GBM_grid_0_AutoML_20190417_131847_model_1,0.947608,0.178108
1,StackedEnsemble_AllModels_0_AutoML_20190417_131847,0.947462,0.19353
2,GBM_grid_0_AutoML_20190417_131847_model_4,0.9471860000000001,0.176272
3,GBM_grid_0_AutoML_20190417_131847_model_0,0.9470350000000001,0.178329
4,StackedEnsemble_BestOfFamily_0_AutoML_20190417_131847,0.946883,0.194082
5,GBM_grid_0_AutoML_20190417_131847_model_2,0.946465,0.180291
6,GBM_grid_0_AutoML_20190417_131847_model_3,0.945617,0.18390499999999999
7,GBM_grid_0_AutoML_20190417_131847_model_5,0.9453389999999999,0.182322
8,XRT_0_AutoML_20190417_131847,0.942333,0.184947
9,DRF_0_AutoML_20190417_131847,0.940448,0.191325
10,GLM_grid_0_AutoML_20190417_131847_model_0,0.934917,0.208581
11,DeepLearning_0_AutoML_20190417_131847,0.923733,0.210194
12,GBM_grid_0_AutoML_20190417_131847_model_6,0.9095110000000001,0.235886
