,model_id,auc,logloss
0,GBM_grid_0_AutoML_20190416_204947_model_6,0.948033,0.177585
1,StackedEnsemble_AllModels_0_AutoML_20190416_204947,0.947616,0.19403399999999998
2,GBM_grid_0_AutoML_20190416_204947_model_0,0.9475180000000001,0.17769300000000002
3,GBM_grid_0_AutoML_20190416_204947_model_4,0.947411,0.175972
4,GBM_grid_0_AutoML_20190416_204947_model_1,0.9472659999999999,0.17836
5,GBM_grid_0_AutoML_20190416_204947_model_2,0.9471379999999999,0.179359
6,StackedEnsemble_BestOfFamily_0_AutoML_20190416_204947,0.946941,0.194386
7,GBM_grid_0_AutoML_20190416_204947_model_7,0.9464030000000001,0.178901
8,GBM_grid_0_AutoML_20190416_204947_model_10,0.9457209999999999,0.18162899999999998
9,GBM_grid_0_AutoML_20190416_204947_model_3,0.9448049999999999,0.185529
10,GBM_grid_0_AutoML_20190416_204947_model_11,0.9434629999999999,0.206413
11,XRT_0_AutoML_20190416_204947,0.9412149999999999,0.185196
12,DRF_0_AutoML_20190416_204947,0.938285,0.202999
13,GLM_grid_0_AutoML_20190416_204947_model_0,0.934917,0.208581
14,DeepLearning_0_AutoML_20190416_204947,0.932034,0.204192
15,GBM_grid_0_AutoML_20190416_204947_model_8,0.9309440000000001,0.25875
16,GBM_grid_0_AutoML_20190416_204947_model_9,0.913984,0.344539
17,GBM_grid_0_AutoML_20190416_204947_model_5,0.8212700000000001,1.006434
