,model_id,auc,logloss
0,StackedEnsemble_0_AutoML_20190415_092222,0.948084,0.19611
1,GBM_grid_0_AutoML_20190415_092222_model_0,0.9474670000000001,0.179724
2,GBM_grid_0_AutoML_20190415_092222_model_4,0.9472200000000001,0.179306
3,GBM_grid_0_AutoML_20190415_092222_model_1,0.946509,0.181608
4,GBM_grid_1_AutoML_20190415_092222_model_1,0.945823,0.182636
5,GBM_grid_0_AutoML_20190415_092222_model_2,0.9457540000000001,0.18355
6,GBM_grid_0_AutoML_20190415_092222_model_3,0.9451139999999999,0.185618
7,GBM_grid_1_AutoML_20190415_092222_model_2,0.945001,0.185121
8,XRT_0_AutoML_20190415_092222,0.9445600000000001,0.183393
9,GBM_grid_1_AutoML_20190415_092222_model_0,0.944512,0.186449
10,GBM_grid_1_AutoML_20190415_092222_model_3,0.937051,0.210406
11,DRF_0_AutoML_20190415_092222,0.9356620000000001,0.21300100000000002
12,DeepLearning_0_AutoML_20190415_092222,0.9342020000000001,0.22351999999999997
13,GLM_grid_0_AutoML_20190415_092222_model_0,0.933566,0.21306
14,GLM_grid_0_AutoML_20190415_092222_model_1,0.933566,0.21306
15,GBM_grid_1_AutoML_20190415_092222_model_4,0.932845,0.304468
